building_id,name,latitude,longitude
ENG,Engineering Building,51.0801,-114.1338
ENC,Engineering C,51.0805,-114.1328
ICT,Information and Communications Technology,51.0813,-114.1314
EEEL,Energy Environment Experiential Learning,51.0821,-114.1303
MSC,MacEwan Student Centre,51.0788,-114.1324
TFDL,Taylor Family Digital Library,51.0781,-114.1309
ST,Science Theatres,51.0787,-114.1295
